N162,AndreaNET162,PesoAndrea162,PopoAndrea162,GuapaNET162,PesoGuapa162,PopoGuapa162
1,19,331,33.1,20.6,343,34.3
2,5.89,330.7392611,33.07392611,18,354.1210182,35.41210182
3,17.4,330.5818703,33.05818703,10,365.1141083,36.51141083
3,19.2,330.6311755,33.06311755,13,375.8513421,37.58513421
3,22.6,330.990525,33.0990525,20,386.2047915,38.62047915
3,19,331.7632668,33.17632668,20.2,396.0465285,39.60465285
3,20,333.0527488,33.30527488,18.6,405.2486249,40.52486249
3,18.8,334.9623193,33.49623193,19.4,413.6831525,41.36831525
3,20.2,337.5953262,33.75953262,20.2,421.2221833,42.12221833
3,21.2,341.0551176,34.10551176,22.4,427.7377891,42.77377891
3,20.2,345.4450415,34.54450415,21,433.1020418,43.31020418
3,17.6,350.8684462,35.08684462,22.4,437.1870133,43.71870133
3,23.8,357.4206924,35.74206924,22.2,439.8647755,43.98647755
3,20.8,365.0134369,36.50134369,24.6,441.0074002,44.10074002
3,20,373.3746325,37.33746325,18.6,440.4992021,44.04992021
3,22,382.2242446,38.22242446,24.6,438.4203453,43.84203453
3,19.6,391.2822388,39.12822388,22.2,435.0085085,43.50085085
3,20.6,400.2685806,40.02685806,20.8,430.5058322,43.05058322
3,18.2,408.9032355,40.89032355,20.8,425.1544567,42.51544567
3,16.8,416.9061691,41.69061691,20.2,419.1965225,41.91965225
3,20.6,423.9973468,42.39973468,18.2,412.87417,41.287417
3,19.6,429.8967341,42.98967341,22.4,406.4295396,40.64295396
3,20.2,434.3242967,43.43242967,19.2,400.1047717,40.01047717
3,15.6,437,43.7,17.4,394.1420068,39.41420068
3,17.8,437.7356764,43.77356764,21.4,388.7833852,38.87833852
3,18.2,436.7106254,43.67106254,18,384.2710474,38.42710474
3,19.6,434.1960136,43.41960136,20.6,380.8471338,38.08471338
3,22.2,430.4630073,43.04630073,22.6,378.7534678,37.87534678
3,20.2,425.7827731,42.57827731,22,378.1202433,37.81202433
3,21.4,420.4264773,42.04264773,22.8,378.8038129,37.88038129
3,24.2,414.6652863,41.46652863,21.2,380.6194161,38.06194161
3,20.4,408.7703667,40.87703667,21.4,383.3822919,38.33822919
3,21,403.0128848,40.30128848,23.1,386.9076799,38.69076799
3,20.2,397.6640071,39.76640071,23.2,391.0108192,39.10108192
3,25.2,392.9949,39.29949,19.8,395.5069493,39.55069493
3,19,389.2696968,38.92696968,21.8,400.2113093,40.02113093
3,22.4,386.5905311,38.65905311,22.2,404.9391386,40.49391386
3,20.6,384.8975373,38.48975373,23,409.5056765,40.95056765
3,20.4,384.1238164,38.41238164,23,413.7261624,41.37261624
3,19.8,384.2024694,38.42024694,22.2,417.4158355,41.74158355
3,22.1,385.0665975,38.50665975,21.8,420.3899351,42.03899351
3,25.6,386.6493016,38.66493016,20.8,422.4885997,42.24885997
3,25.6,388.8836828,38.88836828,20.8,423.7683948,42.37683948
3,20.2,391.7028423,39.17028423,18.4,424.397356,42.4397356
3,19.6,395.0398809,39.50398809,22.6,424.5444491,42.45444491
3,20.8,398.8278998,39.88278998,20.6,424.3786401,42.43786401
3,20.8,403,40.3,18.6,424.0688949,42.40688949
3,20,407.4807652,40.74807652,23.8,423.7841795,42.37841795
3,23.6,412.1607353,41.21607353,23.8,423.6934597,42.36934597
3,23.4,416.9219331,41.69219331,25.6,423.9657015,42.39657015
3,22.2,421.6463811,42.16463811,22.6,424.7698709,42.47698709
3,26,426.2161019,42.62161019,21.4,426.2749337,42.62749337
3,18.6,430.5131182,43.05131182,23.2,428.6498558,42.86498558
3,23.6,434.4194526,43.44194526,23.5,432.0636032,43.20636032
3,22.4,437.8171277,43.78171277,24,436.6824866,43.66824866
3,22.8,440.5881661,44.05881661,22,442.5148408,44.25148408
3,19.2,442.6145904,44.26145904,22.4,449.3242059,44.93242059
3,19,443.7784233,44.37784233,21.2,456.8530139,45.68530139
3,21.4,443.9688905,44.39688905,23.4,464.8436964,46.48436964
3,21,443.2405756,44.32405756,18.2,473.0386853,47.30386853
3,17.8,441.8134198,44.18134198,21.7,481.1804124,48.11804124
3,16.5,439.9145674,43.99145674,20.4,489.0113097,48.90113097
3,25,437.7711629,43.77711629,22.8,496.2738088,49.62738088
3,21.4,435.6103506,43.56103506,22.6,502.7103417,50.27103417
3,21.2,433.659275,43.3659275,22.4,508.0633401,50.80633401
3,21.8,432.1450804,43.21450804,21.8,512.0752359,51.20752359
3,18.4,431.2949112,43.12949112,23.4,514.4884609,51.44884609
3,21.6,431.3359118,43.13359118,20.8,515.0454469,51.50454469
3,17.8,432.4952266,43.24952266,21.4,513.5620718,51.35620718
3,20.4,435,43.5,20.8,510.2319925,51.02319925
3,18.6,438.9879623,43.89879623,19.8,505.3698989,50.53698989
3,18,444.2392309,44.42392309,21.4,499.2905335,49.92905335
3,17.8,450.4445088,45.04445088,21.6,492.3086391,49.23086391
3,19,457.2944994,45.72944994,18.6,484.7389584,48.47389584
3,21.4,464.4799059,46.44799059,21.3,476.8962339,47.68962339
3,17.8,471.6914314,47.16914314,21.6,469.0952084,46.90952084
3,20.8,478.6197791,47.86197791,19.8,461.6506245,46.16506245
3,20,484.9556524,48.49556524,21,454.8772249,45.48772249
3,21.6,490.3897545,49.03897545,16.6,449.0897523,44.90897523
3,20.6,494.6127884,49.46127884,20.2,444.6029493,44.46029493
3,18.8,497.3154575,49.73154575,22,441.7315586,44.17315586
3,20.2,498.2001644,49.82001644,21.4,440.7777866,44.07777866
3,18.3,497.238553,49.7238553,20.6,441.7548099,44.17548099
3,19,494.6715079,49.46715079,20,444.3867755,44.43867755
3,20,490.7516136,49.07516136,22.2,448.385294,44.8385294
3,21.6,485.7314543,48.57314543,21.2,453.461976,45.3461976
3,20.6,479.8636143,47.98636143,20.8,459.3284321,45.93284321
3,19.2,473.4006779,47.34006779,19.8,465.6962731,46.56962731
3,17,466.5952293,46.65952293,20.3,472.2771095,47.22771095
3,18.3,459.699853,45.9699853,22,478.782552,47.8782552
3,20.8,452.9671331,45.29671331,20.2,484.9242113,48.49242113
3,19.1,446.649654,44.6649654,22.2,490.4136978,49.04136978
3,14.7,441,44.1,19.4,494.9626224,49.49626224
3,17.2,436.215034,43.6215034,20.2,498.2825956,49.82825956
3,17.8,432.2688173,43.22688173,16.6,500.0852779,50.00852779
3,18,429.0796898,42.90796898,20.2,500.1857258,50.01857258
3,18.4,426.5659916,42.65659916,18.6,498.7215013,49.87215013
3,16.2,424.6460625,42.46460625,18.8,495.8929354,49.58929354
3,20.2,423.2382426,42.32382426,19.6,491.9003589,49.19003589
3,16.6,422.2608717,42.22608717,17,486.9441029,48.69441029
3,16.2,421.6322899,42.16322899,18.4,481.2244983,48.12244983
3,15.4,421.270837,42.1270837,18,474.9418762,47.49418762
3,15.6,421.0948531,42.10948531,18.6,468.2965674,46.82965674
3,18.3,421.022678,42.1022678,19.6,461.4889029,46.14889029
3,21,420.9751877,42.09751877,18,454.7192138,45.47192138
3,16,420.9308254,42.09308254,17.8,448.1878309,44.81878309
3,18,420.9256017,42.09256017,18.2,442.0950852,44.20950852
3,19.4,420.9980632,42.09980632,20.2,436.6413078,43.66413078
3,18,421.1867562,42.11867562,19.6,432.0139803,43.20139803
3,17.4,421.5302273,42.15302273,18.6,428.2506202,42.82506202
3,16.3,422.0670231,42.20670231,21.6,425.2920376,42.52920376
3,19.2,422.8356901,42.28356901,19.6,423.0774532,42.30774532
3,15.4,423.8747748,42.38747748,18.4,421.5460878,42.15460878
3,18.4,425.2228236,42.52228236,15.4,420.6371621,42.06371621
3,16.6,426.9183832,42.69183832,18.4,420.289897,42.0289897
3,17.2,429,42.9,18.6,420.4435131,42.04435131
3,18.2,431.4884147,43.14884147,16.8,421.0372313,42.10372313
3,17.3,434.3328528,43.43328528,17.4,422.0102724,42.20102724
3,16.6,437.4647343,43.74647343,17.6,423.3018571,42.33018571
3,17,440.8154787,44.08154787,18.4,424.8512061,42.48512061
3,17.6,444.3165058,44.43165058,20.8,426.5975403,42.65975403
3,18,447.8992354,44.78992354,18.2,428.480182,42.8480182
3,18.4,451.4950872,45.14950872,19.6,430.450734,43.0450734
3,16.6,455.0354811,45.50354811,19.8,432.4846506,43.24846506
3,17.7,458.4518366,45.84518366,18.2,434.5601262,43.45601262
3,14.8,461.6755736,46.16755736,20.8,436.6553551,43.66553551
3,17.4,464.6381118,46.46381118,19,438.7485319,43.87485319
3,17.6,467.2722713,46.72722713,18.2,440.8178509,44.08178509
3,16,469.5432977,46.95432977,17.2,442.8415065,44.28415065
3,16.6,471.4488626,47.14488626,19,444.7976932,44.47976932
3,11.8,472.9880375,47.29880375,19.4,446.6646053,44.66646053
3,19.4,474.1598941,47.41598941,18,448.4204374,44.84204374
3,15,474.9635041,47.49635041,17.4,450.0433839,45.00433839
3,15,475.3979392,47.53979392,20.2,451.5116391,45.15116391
3,18.4,475.462271,47.5462271,19,452.8033974,45.28033974
3,17,475.1555714,47.51555714,20,453.9026938,45.39026938
3,18.4,474.4769119,47.44769119,18,454.8323419,45.48323419
3,18.2,473.4253642,47.34253642,18.8,455.6309828,45.56309828
3,16.2,472,47.2,18,456.3373051,45.63373051
3,17.4,470.2041937,47.02041937,18,456.9899977,45.69899977
3,17.2,468.0585946,46.80585946,19.6,457.6277493,45.76277493
3,19,465.5881547,46.55881547,21.6,458.2892487,45.82892487
3,15.8,462.817826,46.2817826,19.2,459.0131846,45.90131846
3,17.6,459.7725606,45.97725606,19.4,459.8382458,45.98382458
3,17.4,456.4773104,45.64773104,19.6,460.8031211,46.08031211
3,19,452.9570275,45.29570275,18.8,461.9464991,46.19464991
3,17,449.2366638,44.92366638,19.2,463.3070688,46.33070688
3,17.6,445.3411715,44.53411715,19,464.9235187,46.49235187
3,20.8,441.2955024,44.12955024,17.8,466.8337976,46.68337976
3,17.6,437.1246086,43.71246086,17,469.0493188,46.90493188
3,16,432.8531136,43.28531136,18,471.548491,47.1548491
3,18.2,428.4973106,42.84973106,16,474.3076765,47.43076765
3,14.4,424.0651626,42.40651626,18.4,477.3032378,47.73032378
3,18.6,419.5643042,41.95643042,16.6,480.5115374,48.05115374
3,16.6,415.0023698,41.50023698,17.6,483.9089376,48.39089376
3,17,410.386994,41.0386994,15,487.4718008,48.74718008
3,16.6,405.7258112,40.57258112,16,491.1764895,49.11764895
3,16.4,401.0264559,40.10264559,17.2,494.9993662,49.49993662
3,16.2,396.2965627,39.62965627,16.2,498.9167931,49.89167931
3,17.4,391.5437659,39.15437659,14.6,502.9051328,50.29051328
3,16.2,386.7757002,38.67757002,15.8,506.9407476,50.69407476
3,17.8,382,38.2,0,511,51.1
